,site,holeID,Sextant,CAN,Device,deviceID,ofaID,Row,Column,apogeeST,bossST,metST,BOSSFiber,APOGEETrib,MTPFiber,LongLinkMTP,Comments,positionerID,APOGEEFiber
145,LCO,R+13C2,2,3,Positioner,P1141,11536,R+13,C2,16C,16C,16C,100,C11141009,E6,2,,1141,60
146,LCO,R+12C8,2,3,Fiducial,FTO-201062,201062,R+12,C8,19DA,19DA,19DA,,,,,,0,
147,LCO,R+12C10,2,3,Positioner,P0982,267,R+12,C10,4A,4A,4A,160,,,,,982,
148,LCO,R+12C9,2,3,Positioner,P1007,360,R+12,C9,4B,4B,4B,161,,,,,1007,
149,LCO,R+12C7,2,3,Positioner,P0521,10677,R+12,C7,4C,4C,4C,162,,,,,521,
150,LCO,R+12C6,2,3,Positioner,P0861,73,R+12,C6,4D,4D,4D,163,,,,,861,
151,LCO,R+12C5,2,3,Positioner,P1002,140,R+12,C5,4E,4E,4E,164,,,,,1002,
152,LCO,R+5C13,2,3,Positioner,P0785,10955,R+5,C13,5A,5A,5A,154,C11141016,E6,5,,785,150
153,LCO,R+6C13,2,3,Positioner,P0342,127,R+6,C13,5B,5B,5B,155,,,,,342,
154,LCO,R+7C13,2,3,Positioner,P1089,11306,R+7,C13,5C,5C,5C,156,C201650001,A1,4,,1089,91
155,LCO,R+8C13,2,3,Positioner,P0509,335,R+8,C13,5D,5D,5D,157,,,,,509,
156,LCO,R+9C13,2,3,Positioner,P0578,10794,R+9,C13,5E,5E,5E,159,C201650001,A2,4,,578,92
157,LCO,R+1C14,2,4,Positioner,P0520,11215,R+1,C14,16D,16D,16D,101,C11141016,A1,5,,520,121
158,LCO,R+3C14,2,4,Positioner,P1067,11513,R+3,C14,16E,16E,16E,102,C11141016,A2,5,,1067,122
159,LCO,R+11C14,2,4,Positioner,P0590,11533,R+11,C14,17A,17A,17A,92,C11141009,E1,2,,590,55
160,LCO,R+12C14,2,4,Positioner,P1050,10797,R+12,C14,17B,17B,17B,93,C11141009,E2,2,,1050,56
161,LCO,R+13C14,2,4,Positioner,P0038,11451,R+13,C14,17C,17C,17C,95,C11141009,E3,2,,38,57
162,LCO,R+13C13,2,4,Positioner,P1073,11518,R+13,C13,17D,17D,17D,96,C11141009,E4,2,,1073,58
